185	石柱莼菜	65.00		1	3						https://detail.alitrip.com/item.htm?spm=a220m.1000858.1000725.1.n9MDJw&id=520308047820&areaId=500000&cat_id=2&rn=e716dc8fb2aaca0520b1d1dc0165bcef&user_id=2554391029&is_b=1		2016-07-13 15:40:20
186	奉节脐橙	68.00									https://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.1.0KFgcs&id=525903061889&areaId=500000&cat_id=2&rn=9499f46e4eb3af5fdd5eb22fd3910bc9&user_id=1870785190&is_b=1	此商品已下架	2016-07-13 15:40:23
187	奉节脐橙	39.00									https://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.0KFgcs&id=525605962836&areaId=500000&cat_id=2&rn=9499f46e4eb3af5fdd5eb22fd3910bc9&user_id=2430371252&is_b=1	此商品已下架	2016-07-13 15:40:25
188	奉节脐橙	89.00									https://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.5.0KFgcs&id=526434304544&areaId=500000&cat_id=2&rn=9499f46e4eb3af5fdd5eb22fd3910bc9&user_id=2430371252&is_b=1	此商品已下架	2016-07-13 15:40:27
204	梁平柚	522725713825	79.90			405						https://item.taobao.com/item.htm?id=522725713825&ns=1&abbucket=3#detail	此宝贝已下架	2016-07-13 15:42:43
205	梁平柚	522725713825	79.90			405						https://click.simba.taobao.com/cc_im?p=%C1%BA%C6%BD%E8%D6&s=649080001&k=385&e=NQC2dUN57M29qsuKHWaHSvrKOS%2FGA4QMPsWpg5mqQsEx9PrYYEVo9VZR1DkcnkHPAfpU3Px2806jy6TbW9TzMJLyWcKRrfco81HjCoObP52YvToFsUY7sROB3Airtd3PdUFkj46FNhnJSWhF0PVfa378jzFRw6DaSDDYMqPDXWRVusp5bKjDekoY7dQM9La4NDTZMIDEkhPuai80KFgPMuVLn8C4KJ%2Bcy8NJ79bHEXgK9DoZn6HJCEStBFQuQIm6HLxny9ByPnsUW3NRqn0dK28WHOi03s3UN7ebPHqNtHeqGtovJcRfmJdVwes0jzJiK0KLRAzNyKatbdNfzCh2K1rwHjjP9mrqE6OvwrcWlnZIztDW5irz13PFqfKV2r%2BT#detail	此宝贝已下架	2016-07-13 15:42:46
206	梁平柚	41985326593	101.00	100.00		220						https://item.taobao.com/item.htm?id=41985326593&ns=1&abbucket=3#detail		2016-07-13 15:43:06
207	梁平柚	41985326593	101.00	100.00		220						https://click.simba.taobao.com/cc_im?p=%C1%BA%C6%BD%E8%D6&s=649080001&k=385&e=mEVcSvY%2FdMi9qsuKHWaHSvrKOS%2FGA4QMPsWpg5mqQsEx9PrYYEVo9VZR1DkcnkHPAfpU3Px2805rSXUYjO2Czx0RdWGTZn%2Fij0tF4YkGjqGYvToFsUY7sROB3Airtd3PdUFkj46FNhnJSWhF0PVfa378jzFRw6DaSDDYMqPDXWRVusp5bKjDekoY7dQM9La4NDTZMIDEkhPuai80KFgPMuVLn8C4KJ%2Bcy8NJ79bHEXgK9DoZn6HJCEStBFQuQIm6kFbYlWztq0xEH537eAQKV%2BrzeaT%2FwEX8TXFQ59P9UEjRkAbdiLTSM2AOUqiKcDyhByhThgfTgdBmhSF8xuYu3umTP8UA2cvkHCyFuS2PkeT35Tnjo8HPdbNNnIIFPdjU#detail		2016-07-13 15:43:26
209	石柱莼菜	21309332784	42.00	37.80	538	986						https://click.simba.taobao.com/cc_im?p=%CA%AF%D6%F9%DD%BB%B2%CB&s=1943828111&k=409&e=OXUkmHRw1KV1VaXsxLlemWlWQZdQRVyVul2mhWPoPMMHo7dFUBj3yJuHqHT2XkRMjLIITHlDtjy193hO5fzxmBFjy0GU5IiccxfQ2IxvYqhZxbYQRWmrPifImDJ7BaIuAnJfi4nbiv0dLPo9SU6Nvz0AD%2BHY4tAS0Ae6MujdCnxe4ldJwmdOWd8OVJpA%2BMQrnOFG38btDODHNld7Muk%2BLMqQ099zqRvFS9SJSCBiRZGHzwVGdEnfwxdAQxg6l2SyAWdxmaYCYu2yvnIUoxkxMfdwFfDZMfchiUO503oUSV4Kb05xsCBCbR%2FeHTHiOhYCrAyc3J89JCQkj78QbmqvEjLwjMSgl7yA%2FQoqMwZB60Q66urr8KDLNHzgilJBua1PLgmfp7BBuFjoSrHI0RuLGA%3D%3D#detail		2016-07-13 15:43:32
210	石柱莼菜	45776868335	18.00	8.98	27	184						https://item.taobao.com/item.htm?id=45776868335&ns=1&abbucket=3#detail		2016-07-13 15:43:52
211	石柱莼菜	43921825794	98.00	45.00	3	98						https://item.taobao.com/item.htm?id=43921825794&ns=1&abbucket=3#detail		2016-07-13 15:44:12
212	石柱莼菜	45709802245	98.00	45.00	2	68						https://item.taobao.com/item.htm?id=45709802245&ns=1&abbucket=3#detail		2016-07-13 15:44:33
213	石柱莼菜	45757177668	18.00	8.98	1	11						https://item.taobao.com/item.htm?id=45757177668&ns=1&abbucket=3#detail		2016-07-13 15:44:53
214	石柱红辣椒	17289262302	5.80		3847	8958						https://click.simba.taobao.com/cc_im?p=%CA%AF%D6%F9%BA%EC%C0%B1%BD%B7&s=737171187&k=429&e=r2OOfuLlcTf1KrJji0Vz5%2BXgjBhq1m3TDivW7irXDQMySBjnz%2FN%2FOfDI7cbw84WF8Kb6mRfLVKhocBDdT%2Fh5WlYAB2xgKAsTgN5OGD4K14NmvgoFPgFdHNxnr3wbZ5lQSyVB9GPd%2FEkamdlGHF%2FDHbQT8QeyNYIaw6o5Y%2BLrbag1FqEbJ0JIL%2BveWC9BBj3hB9lQsm%2Bz5wYwpoZc2xcZSF1rNpwtrwEDdtrsLrkC4Up9kVN7VXs60OVVA9NgCSRU%2FSdiBKTKb%2F8aWiuP2hNk4TsGxJTev9Wdd2kvPPH%2BjdIyYW1Mx4yJnAgHk63N2s41IvZspyl0nGf4wsF303ydy%2BvGTT08P%2BJciwXOw3xTAHMxxHiA9k8OLjZ%2BUdwfmDf%2BanNL3N7K5Pmjc%2BoO0ZoYd770WAseXMx9FKaS%2B4cpsDw%3D#detail		2016-07-13 15:44:57
